Input tokens,Output tokens
14,29
16,43
10,47
10,47
10,47
10,47
10,47
10,47
10,47
10,47
10,47
66,47
66,47
66,47
66,48
8,70
8,70
8,70
8,70
8,70
8,70
8,70
8,70
8,70
23940,70
23946,70
24621,70
24625,70
14,71
14,73
14,73
14,73
14,73
14,73
14,73
14,73
30391,73
30433,73
387,74
10,78
16,80
16,80
16,80
16,80
16,80
16,80
16,80
16,80
16,80
16,81
15456,83
13,84
116437,87
13,88
13,88
13,88
13,88
8188,88
8191,88
8191,88
10,89
10,89
10,89
10,89
10,89
10,89
47,89
47,89
13,90
13,90
13,90
13,90
13,90
10,93
10,94
10,94
9460,96
16377,96
65507,96
114647,96
8188,97
8188,97
16377,97
32753,97
114646,97
117126,97
10,98
10,98
10,98
21,98
32754,98
117126,98
117126,98
13,99
81,99
8188,99
11979,99
65508,99
40,100
13,101
13,102
13,102
13,10314
14,113
14,113
14,116
14,116
14,116
11964,117
23929,117
47859,117
11,118
12001,121
11,122
11,123
11,123
11,123
4218,123
11,124
11,124
11,124
11,124
11994,124
20,138
20,138
20,138
13259,138
13259,138
20,139
20,139
20,139
20,139
20,139
93970,143
20,146
20,147
116438,159
116438,159
5265,162
117125,165
5575,172
6105,174
5666,175
5714,175
4982,183
121770,184
5119,191
5666,196
5714,196
6093,196
83778,200
5764,201
5031,207
35032,207
24003,210
45962,212
14584,214
5132,215
6479,491
6479,491
44884,512